ID,都道府県,城名,読み方,種類,所在地,築城年代,城主・築城者,別名,備考
30,青森県,横内城,よこうちじょう,,青森県青森市横内亀井146-1,,堤（南部）氏、津軽氏,鏡城、堤城,遺構: 曲輪、横堀（空堀）
31,青森県,横浜館,よこはまだて,,青森県上北郡横浜町舘ノ後,,佐々木氏、横浜氏,－,遺構: 消滅
32,青森県,櫛引城,くしびきじょう,,青森県八戸市櫛引館神27,,櫛引氏,－,遺構: 曲輪、横堀（空堀）
33,青森県,油川城,あぶらかわじょう,,青森県青森市西田沢浜田他,,奥瀬氏,－,遺構: 曲輪、堀切
34,青森県,浅瀬石城,あせいしじょう,,青森県黒石市高賀野他,,千徳氏,汗石城、浅石城,遺構: 曲輪、土塁、横堀（空堀）
35,青森県,浪岡城,なみおかじょう,,青森県青森市浪岡大字浪岡岡田43,,北畠（浪岡）氏,浪岡御所,遺構: 曲輪、土塁、横堀（空堀）
36,青森県,田名部城,たなぶじょう,,青森県むつ市小川町2,,赤星氏（南部氏家臣）、新田盛政、八戸氏,田名部館、（田名部代官所）,遺構: 曲輪、土塁、横堀（空堀）
37,青森県,田子館,たっこたて,,青森県三戸郡田子町田子字風張,,佐々木氏、南部氏,［田子前館（前館、牛尾館）、佐々木館］,遺構: 曲輪、堀切
38,青森県,田舎館城,いなかだてじょう,,青森県南津軽郡田舎館村田舎舘字中辻,,工藤氏、安保氏？、千徳氏,－,遺構: 曲輪、土塁、横堀（空堀）
39,青森県,目時館,めときだて,,青森県三戸郡三戸町目時（地図は小館を示す）,,目時氏,（大館・小館）,遺構: 空堀（小館）
40,青森県,石川城,いしかわじょう,,青森県弘前市石川平山（大仏公園）,,曾我氏、南部氏,大仏ヶ鼻城、大渕ヶ鼻城、石川十三館、石川十三楯、岩館十三楯,遺構: 曲輪、土塁、横堀（空堀）
41,青森県,碇ヶ関関所,いかりがせきせきしょ,,青森県平川市碇ヶ関（地図は折橋御番所を示す）,,津軽氏,碇ヶ関御関所,遺構: 移築高麗門（道の駅「いかりがせき 関の庄」）
42,青森県,福島城,ふくしまじょう,,青森県五所川原市相内露草,,安東氏,－,遺構: 曲輪、土塁、横堀、門跡
43,青森県,種里城,たねさとじょう,,青森県西津軽郡鰺ヶ沢町種里町大柳,,津軽氏,山上館,遺構: 曲輪、土塁
44,青森県,聖寿寺館,しょうじゅじだて,,青森県三戸郡南部町小向字正寿寺,,南部氏,本三戸城,遺構: 曲輪、横堀（空堀）
45,青森県,茶右衛門館,ちゃえもんだて,,青森県西津軽郡深浦町森山,,小野茶右衛門（津軽氏家臣）、森山季定（安東氏家臣）,森山館、森山東館、森山城,遺構: 曲輪、土塁、堀切
46,青森県,蓬田城,よもぎたじょう,,青森県東津軽郡蓬田村蓬田汐越（蓬田八幡宮）,,潮潟氏、奥瀬氏、蓬田氏,蓬田村大館、蓬田大館、蓬田館、大館城,遺構: 土塁、横堀（空堀）
47,青森県,蠣崎城,かきざきじょう,,青森県むつ市川内町蛎崎合野74-1（錦帯城公園）,,武田氏（南部氏家臣）,蛎崎城、錦帯城,遺構: 曲輪
48,青森県,野尻館,のじりだて,,青森県青森市野尻字野田他,,南部氏？,－,遺構: 曲輪、横堀（空堀）
49,青森県,野辺地城,のへじじょう,,青森県上北郡野辺地町字野辺地,,アイヌ、野辺地氏、石井氏、小軽米氏、日戸氏,金鶏城、（野辺地代官所）,遺構: 曲輪、土塁、横堀（空堀）
50,青森県,風張館,かざはりだて,,青森県八戸市是川字館ノ内,,水越氏・是川氏（南部氏家臣）,是川館、下館,遺構: 曲輪、土塁、横堀（空堀）
51,青森県,飯詰城,いいづめじょう,,青森県五所川原市飯詰字福泉,,朝日氏,高楯城、高館城,遺構: 曲輪、土塁、横堀（空堀）
52,青森県,高屋敷館,たかやしきだて,,青森県青森市浪岡大字高屋敷字野尻,,不明,－,遺構: 土塁、横堀（空堀）
53,青森県,高田城,たかだじょう,,青森県青森市高田字川瀬,,土岐則基,－,遺構: 曲輪、横堀（空堀）
54,青森県,高畑城,たかばたけじょう,,青森県平川市高畑熊沢,,平岡氏、乳井氏,－,遺構: 土塁、堀
55,青森県,鮫浦台場,さめうらだいば,,青森県八戸市鮫町葦毛崎,,八戸藩,－,遺構: 消滅
56,青森県,黒石城,くろいしじょう,,青森県黒石市内町,,津軽氏,黒石陣屋、烏城,遺構: 横堀（空堀）跡
57,岩手県,一戸城,いちのへじょう,,岩手県二戸郡一戸町,,一戸南部氏,－,遺構: 曲輪、横堀（空堀）
58,岩手県,一方井城,いっかたいじょう,,岩手県岩手郡岩手町一方井,,一方井氏,一本杉館・イチョウ館（古館）、輪台城・九井館（新館）,遺構: 曲輪、土塁、横堀（空堀）
59,岩手県,一関城,いちのせきじょう,,岩手県一関市釣山,,坂上田村麻呂、小野寺氏、田村氏（伊達氏家臣）,一関要害、高崎城、釣山館、釣山城,遺構: 曲輪、土塁、井戸
60,岩手県,上折壁城,かみおりかべじょう,,岩手県一関市室根町矢越字千刈田,,千葉氏（葛西氏家臣）,山吹館、山吹城、旭館,遺構: 曲輪、土塁、横堀（空堀）
61,岩手県,世田米城,せたまいじょう,,岩手県気仙郡住田町世田米（八幡神社）,,阿曾沼氏,下館、新城,遺構: 曲輪、横堀（空堀）
62,岩手県,久慈城,くじじょう,,岩手県久慈市大川目町,,久慈氏,新町館、八日館,遺構: 曲輪、横堀（空堀）
63,岩手県,九戸城,くのへじょう,,岩手県二戸市福岡城ノ内,,九戸氏、南部氏,福岡城、宮野城、白鳥城,遺構: 曲輪、石垣、土塁、横堀（空堀）
64,岩手県,二子城,ふたごじょう,,岩手県北上市二子町渋谷他,,和賀氏,飛勢（とばせ）城,遺構: 曲輪、腰曲輪、土塁、横堀（空堀）
65,岩手県,二日市城,ふつかいちじょう,,岩手県陸前高田市気仙町二日市,,今野氏、千葉氏、鈴木氏、中島氏、大条氏、大町氏,二日市館、八幡館、鵜飼館,遺構: 曲輪、土塁、横堀（空堀）
66,岩手県,二桜城,にろうじょう,,岩手県一関市花泉町花泉字上館,,清水刑部少輔、葛西清秀、留守氏（伊達氏家臣）,二桜舘、清水城、舞鶴城,遺構: 曲輪、土塁
67,岩手県,人首城,ひとかべじょう,,岩手県奥州市江刺米里荒町,,人首氏、南部氏、沼辺氏,人首要害、人首館,遺構: 曲輪、土塁、横堀（空堀）、枡形虎口
68,岩手県,六日入城,むいかいりじょう,,岩手県奥州市前沢白山字古館,,麻生玄長,六日入館、六日入柵、六日城,遺構: 曲輪、土塁、横堀（空堀）
69,岩手県,典膳館,てんぜんだて,,岩手県和賀郡西和賀町沢内新町,,太田氏,天膳館、天神館,遺構: 曲輪、土塁、横堀（空堀）
70,岩手県,刈屋館,かりやだて,,岩手県宮古市刈屋,,刈屋氏,高松館、蓬田館,遺構: 曲輪、帯曲輪、土塁、横堀（空堀）
71,岩手県,千徳城,せんとくじょう,,岩手県宮古市太田2,,河北閉伊氏、一戸千徳氏,－,遺構: 曲輪、横堀（空堀）、天守跡
72,岩手県,半目館,はんもくだて,,岩手県一関市厳美町,,不明,メッコ館,遺構: 曲輪
73,岩手県,厨川柵,くりやがわのさく,,岩手県盛岡市天昌寺町（擬定地）、安倍館町他（地図は安倍館遺跡を示す）,,安倍氏［すべて］、工藤氏［すべて］,厨川柵［安倍館・里館・厨川城］,遺構: 曲輪、横堀（空堀）［安倍館］
74,岩手県,四戸城,しのへじょう,,岩手県二戸市金田一舘,,四戸氏,金田一城,遺構: 曲輪、横堀（空堀）
75,岩手県,大梵天館,だいぼんてんたて,,岩手県宮古市小国,,小国氏,小国館,遺構: 曲輪、腰曲輪、土塁、堀切、横堀（空堀）
76,岩手県,大槌城,おおづつじょう,,岩手県上閉伊郡大槌町14地割字稲本,,大槌氏,浜崎城、古館,遺構: 曲輪、土塁、横堀（空堀）、虎口
77,岩手県,大迫城,おおはさまじょう,,岩手県花巻市大迫町大迫古館,,大迫氏,高屋敷の御館、桂林寺館、桂林館、右近館,遺構: 曲輪、土塁、横堀（空堀）、竪堀
78,岩手県,大野館,おおのだて,,岩手県九戸郡洋野町大野,,大野弥五郎,東大野館,遺構: 曲輪、堀切
79,岩手県,姉帯城,あねたいじょう,,岩手県二戸郡一戸町姉帯字川久保,,姉帯氏,－,遺構: 曲輪、土塁、堀切、横堀（空堀）、（発掘調査：建物跡）
80,岩手県,寺林城,てらばやしじょう,,岩手県花巻市石鳥谷町中寺林,,河野氏、浅野六兵衛,－,遺構: 曲輪、土塁、横堀（空堀）
81,岩手県,小瀬川館,こせがわだて,,岩手県花巻市小瀬川第3地割（地図は説明板の場所を示す）,,稗貫氏、大瀬川氏？,小瀬川城、瀬川城、瀬川館、新主館,遺構: 土塁、横堀（空堀）
82,岩手県,山吹城,やまぶきじょう,,岩手県一関市大東町大原川内,,大原千葉氏,山吹館、大原城,遺構: 曲輪
83,岩手県,岩崎城,いわさきじょう,,岩手県北上市和賀町岩崎,,岩崎氏、和賀氏、柏山氏,和賀盾,遺構: 曲輪、土塁、横堀（空堀）
84,岩手県,徳丹城,とくたんじょう,,岩手県紫波郡矢巾町西徳田,,文室綿麻呂（ふんやのわたまろ）,－,遺構: （発掘調査：建物跡、築地塀跡）
85,岩手県,志波城,しわじょう,,岩手県盛岡市上鹿妻五兵エ新田48-1,,坂上田村麻呂,斯波城、志和城、方八丁,遺構: （発掘調査：築地塀跡、大溝、掘立柱建物跡、竪穴建物跡）
86,岩手県,日戸館,ひのとだて,,岩手県盛岡市日戸字古屋敷,,日戸（川村）氏,一本杉館,遺構: 曲輪、土塁、横堀（空堀）
87,岩手県,普代城,ふだいじょう,,岩手県下閉伊郡普代村普代,,三上氏,三上館,遺構: 曲輪、横堀（空堀）
88,岩手県,末崎城,まつさきじょう,,岩手県大船渡市末崎町西舘,,武田氏（葛西氏家臣）,西舘城,遺構: 曲輪、土塁、横堀（空堀）
89,岩手県,柳之御所,やなぎのごしょ,,岩手県西磐井郡平泉町（地図は平泉館を示す）,,藤原氏［平泉館］、白鳥氏、山名氏［白鳥舘］、安倍氏［接待館］,柳之御所［平泉館・白鳥舘・接待館］,遺構: 曲輪、土塁、横堀（空堀）［すべて］、井戸跡［平泉館］
90,岩手県,柳田館,やなぎだだて,,岩手県紫波郡紫波町片寄中平,,片寄氏（斯波氏家臣）、中野康実（南部氏家臣）,片寄城、吉兵衛館、今崎城、中野館,遺構: 曲輪、土塁、横堀（空堀）
91,岩手県,樋爪館,ひづめだて,,岩手県紫波郡紫波町南日詰箱清水,,樋爪（藤原）氏,樋爪舘、比爪館,遺構: （発掘調査：掘立柱建物跡、竪穴建物跡、井戸跡）
92,岩手県,毒沢城,どくさわじょう,,岩手県花巻市東和町毒沢,,毒沢氏（只野氏）,毒沢館,遺構: 曲輪、帯曲輪、土塁、堀切
93,岩手県,水沢城,みずさわじょう,,岩手県奥州市水沢大手町,,蜂谷氏、佐々木氏、大内氏、白石氏、柴田氏、石母田氏、留守氏,水沢要害、臥牛城、大休城,遺構: 移築門、土塁
94,岩手県,浄法寺城,じょうぼうじじょう,,岩手県二戸市浄法寺町八幡舘,,浄法寺氏,小幡館,遺構: 曲輪、横堀（空堀）
95,岩手県,火渡館,ひわたしだて,,岩手県遠野市附馬牛町上附馬牛字火渡,,火渡氏,－,遺構: 曲輪、堀切、横堀（空堀）
96,岩手県,熊野館,くまのだて,,岩手県九戸郡九戸村伊保内第10地割,,九戸氏,－,遺構: 曲輪、土塁
97,岩手県,狐崎城,きつねざきじょう,,岩手県釜石市浜町1,,狐崎氏、荒谷肥後,狐崎館,遺構: 曲輪
98,岩手県,田代館,たしろたて,,岩手県宮古市区界第1地割,,田代氏,－,遺構: 曲輪、帯曲輪、土塁、横堀（空堀）
99,岩手県,田頭城,でんどうじょう,,岩手県八幡平市田頭字館腰,,田頭氏,－,遺構: 曲輪、土塁、横堀（空堀）
100,岩手県,盛岡城,もりおかじょう,,岩手県盛岡市菜園1-1-3,,南部氏,（不来方城）,遺構: 曲輪、石垣、土塁、横堀、移築土蔵、門
101,岩手県,種市城,たねいちじょう,,岩手県九戸郡洋野町種市（地図は平城跡を示す）,,種市氏,－,遺構: 曲輪、土塁、横堀（空堀）
102,岩手県,米ヶ崎城,よねがさきじょう,,岩手県陸前高田市米崎町館,,浜田千葉氏,米ケ崎城、米崎城、浜田城,遺構: 曲輪、堀切、横堀（空堀）
103,岩手県,胆沢城,いさわじょう／いさわのき,,岩手県奥州市水沢佐倉河渋田,,坂上田村麻呂,方八丁,遺構: （発掘調査：築地塀跡、正殿跡、脇殿跡、門跡）
104,岩手県,花巻城,はなまきじょう,,岩手県花巻市城内,,安倍氏、奥州藤原氏、稗貫氏、北氏、南部氏,鳥谷ヶ崎城、鳥谷ケ崎城,遺構: 曲輪、土塁、横堀（空堀）、井戸、移築門、時鐘堂
105,岩手県,葛巻城,くずまきじょう,,岩手県岩手郡葛巻町葛巻,,葛巻氏,八幡館、（葛巻館、鏡沢館）,遺構: 曲輪
106,岩手県,薄衣城,うすぎぬじょう,,岩手県一関市川崎町薄衣字古舘,,薄衣千葉氏（葛西氏家臣）,米倉館、葛丸館、搦手館、古館,遺構: 曲輪、横堀（空堀）
107,岩手県,衣川柵,ころもがわのさく,,岩手県奥州市衣川並木前,,安倍氏、清原氏,並木衣川館、並木屋敷、並木御所,遺構: 消滅
108,岩手県,見前館,みるまえだて,,岩手県盛岡市西見前8地割,,見前氏、日戸氏,見舞館,遺構: 消滅
109,岩手県,豊田館,とよたのたち,,岩手県奥州市江刺岩谷堂字下苗代沢,,藤原氏,豊田城,遺構: 曲輪
110,岩手県,軽米城,かるまいじょう,,岩手県九戸郡軽米町大字軽米第10地割,,軽米氏、北氏,－,遺構: 曲輪、横堀跡
111,岩手県,野手崎城,のてざきじょう,,岩手県奥州市江刺梁川,,大立目氏、小梁川氏,小梁川館、（高屋敷館）,遺構: 曲輪、土塁、横堀（空堀）、枡形
112,岩手県,金沢城,かざわじょう,,岩手県一関市花泉町金沢字西川,,金沢氏,朝日舘、朝日館、朝日城、旭城、東雲館、東雲城,遺構: 曲輪、腰曲輪、土塁
113,岩手県,鍋倉城,なべくらじょう,,岩手県遠野市遠野町（鍋倉公園）,,阿曽沼氏、遠野南部氏,横田城、新横田城、遠野城,遺構: 曲輪、土塁、堀切、横堀（空堀）
114,岩手県,雫石城,しずくいしじょう,,岩手県岩手郡雫石町下町東,,戸沢氏、手塚氏、斯波氏、南部氏,滴石城、雫石御所、滴石御所、八幡館,遺構: 曲輪、土塁、横堀（空堀）
115,岩手県,高水寺城,こうすいじじょう,,岩手県紫波郡紫波町二日町字古舘21-2,,斯波氏、中野氏（南部氏家臣）,郡山城、斯波館、志和館、志和城、斯波御所,遺構: 曲輪、土塁、横堀（空堀）、門跡、建物跡
116,岩手県,鳥海柵,とのみのさく,,岩手県胆沢郡金ヶ崎町西根字鳥海,,安倍氏,弥三郎館,遺構: （発掘調査：掘立柱建物跡、竪穴建物跡）
117,岩手県,鹿合館,ししあわせたて,,岩手県奥州市胆沢若柳字上鹿合,,安倍氏？、高橋氏（柏山氏家臣）？,山居館,遺構: 曲輪、土塁、横堀（空堀）
118,岩手県,黒岩城,くろいわじょう,,岩手県北上市黒岩18地割,,和賀氏,千曳城、岩崎塞,遺構: 曲輪、横堀（空堀）
119,宮城県,下野郷館,しものごうだて,,宮城県岩沼市下野郷字舘内、舘外,,奥山氏,矢野目足軽館、矢野目足軽城,遺構: 横堀（水堀）
120,宮城県,中島館,なかじまだて,,宮城県亘理郡山元町高瀬字館下,,亘理氏,高瀬館,遺構: 曲輪、土塁、腰曲輪、横堀（空堀）
121,宮城県,中新田城,なかにいだじょう,,宮城県加美郡加美町北町三番49,,大崎氏（斯波氏）、伊達氏,－,遺構: 曲輪、土塁、横堀跡
122,宮城県,丸森城,まるもりじょう,,宮城県伊具郡丸森町丸森字新町,,伊達氏,丸山館、丸山城,遺構: 曲輪、横堀（空堀）
123,宮城県,亘理城,わたりじょう,,宮城県亘理郡亘理町字旧館,,亘理元宗、片倉景綱、伊達氏,亘理要害、臥牛城,遺構: 曲輪、横堀（水堀）、移築門
124,宮城県,今泉城,いまいずみじょう,,宮城県仙台市若林区今泉2,,須田玄蕃,玄蕃館、（今泉遺跡）,遺構: 消滅
125,宮城県,仙台城,せんだいじょう,,宮城県仙台市青葉区,,伊達氏,青葉城、仙臺城、五城楼,遺構: 曲輪、石垣、土塁、横堀（空堀）
126,宮城県,伊治城,いじじょう／いちじょう,,宮城県栗原市築館字城生野大堀、唐崎要害他,,伊治呰麻呂,－,遺構: 土塁、掘立柱建物跡、竪穴住居跡、塀跡
127,宮城県,佐沼城,さぬまじょう,,宮城県登米市迫町佐沼内町（鹿ヶ城公園）,,照井氏、佐沼氏、石川氏、津田氏、亘理氏,佐沼要害、鹿ヶ城、鹿城,遺構: 曲輪、土塁、堀切
128,宮城県,利府城,りふじょう,,宮城県宮城郡利府町利府字城内（館山公園）,,村岡氏、留守氏,村岡城,遺構: 曲輪、土塁、横堀（空堀）
129,宮城県,前川本城,まえかわもとしろ,,宮城県柴田郡川崎町前川字本城,,砂金氏,中ノ内城、錦ヶ館、錦館,遺構: 曲輪、石積、土塁、横堀（空堀）、竪堀、枡形虎口
130,宮城県,北目城,きためじょう,,宮城県仙台市太白区郡山字館ノ内他,,粟野氏、屋代氏、伊達政宗,－,遺構: （発掘調査：障子堀跡）
131,宮城県,千石城,せんごくじょう,,宮城県大崎市松山千石字本丸（御本丸公園）,,遠藤氏、石川昭光、古田重直、茂庭良元,千石館、松山城、松山館、文覚館,遺構: 曲輪、腰曲輪、土塁、堀切
132,宮城県,古川城,ふるかわじょう,,宮城県大崎市古川二ノ構7-67,,大崎氏、古川氏（大崎市家臣）、木村氏、鈴木元信（伊達氏家臣）,－,遺構: 曲輪、横堀、土塁、移築門（瑞川寺山門）
133,宮城県,名生城,みょうじょう,,宮城県大崎市古川大崎城内131,,大崎氏,御所館、義隆館、名生館,遺構: 曲輪、土塁、横堀（空堀）
134,宮城県,国分鞭館,こくぶんむちだて,,宮城県仙台市宮城野区五輪1（推定地）,,藤原泰衡,国分原鞭楯、鞭楯、鞭館,遺構: 消滅
135,宮城県,地蔵院館,じぞういんだて,,宮城県白石市斎川地蔵院舘,,不明,－,遺構: 曲輪、土塁、横堀（空堀）
136,宮城県,城生柵,じょうのさく,,宮城県加美郡加美町城生字裏他,,不明,（城生遺跡）,遺構: 井戸跡、門跡、竪穴住居跡
137,宮城県,塩野田館,しおのだだて,,宮城県石巻市須江字館,,須藤勘解由左衛門？、矢代斉三郎？,塩煮田館,遺構: 曲輪、腰曲輪、土塁、横堀（空堀）
138,宮城県,多賀城,たがじょう,,宮城県多賀城市市川字城前,,大野東人,多賀柵,遺構: 政庁跡、築地跡、門跡、土塁、横堀（空堀）
139,宮城県,大衡城,おおひらじょう,,宮城県黒川郡大衡村大衡字塩浪4-2,,大衡氏、黒川氏,駒場館、越路城、塩浪館,遺構: 曲輪、土塁
140,宮城県,姫松館,ひめまつだて,,宮城県栗原市一迫真坂字寺東,,井ノ山氏,－,遺構: 曲輪、土塁、横堀（空堀）、畝状竪堀群、堀切
141,宮城県,宮崎城,みやざきじょう,,宮城県加美郡加美町宮崎字麓,,笠原氏、牧野氏（伊達氏家臣）、石母田氏（伊達氏家臣）,宮崎館、古館、荒谷城,遺構: 曲輪、土塁、横堀（空堀）
142,宮城県,宮沢城,みやざわじょう,,宮城県大崎市古川宮沢字舘ノ内,,岩崎氏（大崎氏家臣）、長沼氏（伊達氏家臣）,鵜ヶ城、宮沢要害,遺構: 曲輪、土塁、横堀（空堀）
143,宮城県,富沢館,とみさわだて,,宮城県仙台市太白区富沢舘,,粟野氏、山岸氏,－,遺構: 土塁、横堀（空堀）
144,宮城県,寺池城,てらいけじょう,,宮城県登米市登米町寺池桜小路,,葛西氏,寺池館、登米要害、臥牛城,遺構: 曲輪、土塁、堀切、移築搦手門
145,宮城県,小堤城,こづつみじょう,,宮城県亘理郡亘理町泉ケ入88,,亘理氏（武石氏）,大雄寺館,遺構: 曲輪、土塁
146,宮城県,小野城,おのじょう,,宮城県東松島市小野字笹ケ森,,長江氏,小野館、梅ヶ森城、梅ヶ森館,遺構: 曲輪、腰曲輪、横堀（空堀）
147,宮城県,小鶴城,こづるじょう,,宮城県仙台市宮城野区新田3,,逸見氏、佐藤三郎、柴田弘邦、吉田左近,－,遺構: 曲輪、土塁、横堀（空堀）
148,宮城県,岩出山城,いわでやまじょう,,宮城県大崎市岩出山字城山42-2（城山公園）,,氏家氏、伊達氏,岩手沢城、岩出山要害、臥牛城,遺構: 曲輪、土塁、横堀
149,宮城県,岩切城,いわきりじょう,,宮城県仙台市宮城野区岩切字入山他／利府町神谷沢,,留守氏,高森館、鴻の館,遺構: 曲輪、土塁、堀切、横堀（空堀）
150,宮城県,川崎城,かわさきじょう,,宮城県柴田郡川崎町前川舘山西,,砂金氏、川崎伊達氏,川崎要害、臥牛城、前川城,遺構: 曲輪、土塁、切岸
151,宮城県,平沢城,ひらさわじょう,,宮城県刈田郡蔵王町平沢字内屋敷,,甘糟氏？、中島氏？、高野氏,平沢要害、平沢館、寝牛館、臥牛（ねうし）館、勝岡城,遺構: 曲輪、土塁、横堀（空堀）
152,宮城県,平賀館,ひらがだて,,宮城県仙台市青葉区作並上ノ台下,,平賀源蔵,－,遺構: 曲輪
153,宮城県,彫堂七館,えりどうしちだて,,宮城県遠田郡美里町北浦字山前,,大崎氏,七館八沢,遺構: 曲輪、腰曲輪、土塁、横堀（空堀）
154,宮城県,御殿館,ごてんたて,,宮城県仙台市青葉区上愛子字宮下,,国分氏？,－,遺構: 曲輪、土塁、横堀（空堀）
155,宮城県,朝日館,あさひだて,,宮城県本吉郡南三陸町志津川字下保呂毛,,本吉氏,朝日城、旭館、志津川城,遺構: 曲輪、石垣、土塁、横堀（空堀）
156,宮城県,杭城,くいじょう,,宮城県仙台市泉区西田中字杭城山,,須藤氏,杭城館,遺構: 曲輪、土塁、横堀（空堀）、土橋
157,宮城県,松森城,まつもりじょう,,宮城県仙台市泉区松森内町,,国分氏,鶴ヶ城,遺構: 曲輪、横堀（空堀）
158,宮城県,根添城,ねぞえじょう,,宮城県仙台市太白区坪沼字根添東、館前東,,安倍氏,根添館,遺構: 曲輪、土塁、横堀（空堀）
159,宮城県,横浦館,よこうらだて,,宮城県牡鹿郡女川町横浦字横浦,,不明,－,遺構: 曲輪、横堀（空堀）
160,宮城県,沖野城,おきのじょう,,宮城県仙台市若林区沖野7他,,粟野氏,－,遺構: （発掘調査：土塁、横堀）
161,宮城県,津久毛橋城,つくもばしじょう,,宮城県栗原市金成津久毛字平形松迫,,北畠氏,－,遺構: 曲輪、土塁、横堀（空堀）
162,宮城県,津谷館,つやだて,,宮城県気仙沼市本吉町津谷舘岡,,米倉氏,獅子ヶ館、獅子が館,遺構: 曲輪、土塁、横堀（空堀）
163,宮城県,涌谷城,わくやじょう,,宮城県遠田郡涌谷町涌谷下町1,,涌谷氏、亘理氏（涌谷伊達氏）,涌谷要害,遺構: 隅櫓（太鼓堂）、曲輪、石垣、横堀（空堀）
